What,Where,When,How_Much
Koncert i anledning af Fini Henriques 150 års fødselsdag.,"Møstings Hus, Andebakkesti 5, Frederiksberg","Wed 20 December 2017, 8 pm.",(Free admission)
Dreamers' Circus.,"Republique, Østerfælled Torv 37, Copenhagen Ø","Wed 20 December 2017, 8 pm.",(Entrance fee: 250 DKK + evt. gebyr)
Koncert med Caroline Henderson.,"Christians Kirke, Strandgade 1, Copenhagen K","Wed 20 December 2017, 8 pm  - 9 pm.",
Jesse Baldwell and the Free Union.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Wed 20 December 2017, 9.30 pm.",(Free admission)
½ times julemusik.,"Brønshøj Kirke, Brønshøj Kirkevej 8, Brønshøj","Thur 21 December 2017, 5 pm  - 5.30 pm.",
Zididada.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Thur 21 December 2017, 7 pm.",(Entrance fee: 220)
"ALL SWING & BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K","Thur 21 December 2017, 7 pm  - 9 pm.",
Johannes' Åbenbaring.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 21 December 2017, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
Messias med Kammerkoret Camerata.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Thur 21 December 2017, 7.30 pm  - 10 pm.",
Julekoncert med Vokalensemblet Dekorum.,"Frihavnskirken, Willemoesgade 68, Copenhagen Ø","Thur 21 December 2017, 8 pm.",(Entrance fee: 50)
Cæcilie Norby's Jazzy Christmas.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Thur 21 December 2017, 8 pm.",(Entrance fee: 405 DKK + evt. gebyr)
Koncert med Caroline Henderson.,"Christians Kirke, Strandgade 1, Copenhagen K","Thur 21 December 2017, 8 pm  - 9 pm.",
"Jacob Fischer ""Young X-mas Friends"".","Jazzcup, Gothersgade 107, Copenhagen K","Fri 22 December 2017, 3.30 pm.","(Entrance fee: 120,-(100,-))"
Fredagskoncert.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Fri 22 December 2017, 4.30 pm  - 5.30 pm.",
Julekoncert.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 22 December 2017, 4.30 pm  - 5.45 pm.",
Advent IV.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Fri 22 December 2017, 5 pm.",(Free admission)
½ times julemusik.,"Brønshøj Kirke, Brønshøj Kirkevej 8, Brønshøj","Fri 22 December 2017, 5 pm  - 5.30 pm.",
Adventskoncert med Solbjerg Kirkes Kammerorkester.,"Solbjerg Kirke, Howitzvej 30A, Frederiksberg","Fri 22 December 2017, 5 pm  - 6 pm.",
Cæcilie Norby's Jazzy Christmas.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Fri 22 December 2017, 8 pm.",(Entrance fee: 405 DKK + evt. gebyr)
Jul med Det Danske Kammerkor.,"Lindevang Kirke, Hattensens Allé 12, Frederiksberg","Fri 22 December 2017, 8 pm  - 9.30 pm.",
Mens vi venter.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 22 December 2017, 9 pm.",(Free admission)
Infernal (dk) - Få Billetter.,"VEGA, Enghavevej 40, Copenhagen V","Fri 22 December 2017, 9.30 pm.","(Entrance fee: 200,00 DKK)"
Dale Smith Blues Band.,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Fri 22 December 2017, 10 pm.",(Entrance fee: 100 DKK)
Mulatov.,"Rust, Guldbergsgade 8, Copenhagen N","Fri 22 December 2017, 11 pm.",
Rust Natklub.,"Rust, Guldbergsgade 8, Copenhagen N","Fri 22 December 2017, 11 pm.",
Matiné.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Sat 23 December 2017, 12 am.",(Free admission)
Julevesper.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Sun 24 December 2017, 2.30 pm.",(Free admission)
Bachkantater i Sankt Petri.,"Sankt Petri Kirke, Sankt Peders Stræde 2, Copenhagen K","Mon 25 December 2017, 3 pm.",(Free admission)
Østerbro Jazzklub: Norbert Susemihl's Joyful Gumbo.,"Kulturhuset Krudttønden, Serridslevvej 2, Copenhagen Ø","Tues 26 December 2017, 3.30 pm.",(Entrance fee: M 80/ G 120)
Frede Fup + Ama?r Kix.,"Amager Bio, Øresundsvej 6, Copenhagen S","Wed 27 December 2017, 8 pm.","(Entrance fee: 195,00 DKK)"
Bobo Moreno m.fl.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Wed 27 December 2017, 8 pm.",(Entrance fee: 330 DKK + evt. gebyr)
Sankt Hell - Julerock På Loppen!,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Wed 27 December 2017, 8.30 pm.",(Entrance fee: 220 DKK)
Suspekt (dk) - Udsolgt.,"VEGA, Enghavevej 40, Copenhagen V","Wed 27 December 2017, 9 pm.","(Entrance fee: 300,00 DKK)"
Peter Belli & De Rejsende - Venteliste.,"Amager Bio, Øresundsvej 6, Copenhagen S","Thur 28 December 2017, 8 pm.","(Entrance fee: 245,00 dkk - 360,00 dkk)"
Zapp Zapp.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 28 December 2017, 8 pm.",(Entrance fee: 295 DKK)
Bobo Moreno m.fl.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Thur 28 December 2017, 8 pm.",(Entrance fee: 330 DKK + evt. gebyr)
Suspekt (dk) - Venteliste.,"VEGA, Enghavevej 40, Copenhagen V","Thur 28 December 2017, 9 pm.","(Entrance fee: 300,00 DKK)"
Nytårsgalla.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 29 December 2017, 3 pm.",(Entrance fee: 248 - 992 DKK)
December jazz.,"Tårnby Hovedbibliotek, Kamillevej 10, Kastrup","Fri 29 December 2017, 3.30 pm  - 5.30 pm.",(Free admission)
Bobo Moreno m.fl.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Fri 29 December 2017, 8 pm.",(Entrance fee: 330 DKK + evt. gebyr)
Amagerbro Jazz: Wonderbrazz.,"Kvarterhuset, Jemtelandsgade 3, Copenhagen S","Fri 29 December 2017, 8 pm  - 9.30 pm.",(Entrance fee: 100/50)
Suspekt (DK) Ekstra ekstra koncert.,"VEGA, Enghavevej 40, Copenhagen V","Fri 29 December 2017, 9 pm.","(Entrance fee: 300,00 DKK)"
Orgelmatiné.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Sat 30 December 2017, 12 am.",(Free admission)
Bobo Moreno m.fl.,"Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K","Sat 30 December 2017, 8 pm.",(Entrance fee: 330 DKK + evt. gebyr)
Mikkel Nordsø Band Juleshow 2017.,"Amager Bio, Øresundsvej 6, Copenhagen S","Sat 30 December 2017, 9 pm.","(Entrance fee: 195,00 DKK)"
Nytårsgalla.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 31 December 2017, 1 pm  & 5 pm.",(Entrance fee: 248 - 992 DKK)
Singlerock's fantastiske Nytårsaften.,"Café Ae, Frederikssundsvej 7, Copenhagen NV","Sun 31 December 2017, 5 pm.","(Entrance fee: Kvinde kl 17 - 17.45 590 DKK, Mand kl. 17 - 17.45 590 DKK)"
"Open mike: Peter, Theis and Jens.","Comedy Zoo, Knabrostræde 19, Copenhagen K","Sun 31 December 2017, 8 pm.",(Entrance fee: 145 - 165 DKK)
Vi Elsker 90'erne ( Warm up/ New year edition).,"Damhus Kroen, Roskildevej 244, Rødovre","Sun 31 December 2017, 9 pm.",(Entrance fee)
Folkets Hus Spillefolk Nytårsbal.,"Metronomen, Godthåbsvej 33, Frederiksberg","Mon 1 January 2018, 2 pm.",(Free admission)
Jam-session på Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 3 January 2018, 6 pm.",(Free admission)
Nytårskoncert 2018.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Wed 3 January 2018, 7.30 pm.",(Entrance fee: 395 - 455 DKK. + gebyr)
Kærlighed i tekst og Tone.,"Sundby Kirke, Amagerbrogade 71, Copenhagen S","Wed 3 January 2018, 8 pm  - 9 pm.",
Orgelmesterkoncert.,"Grundtvigs Kirke, På Bjerget 14B, Copenhagen NV","Thur 4 January 2018, 7.30 pm  - 9 pm.",
Duellen - Morricone trækker først.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 4 January 2018, 8 pm.",(Entrance fee: 135 - 500 DKK)
"""The music of Dave Brubeck & Paul Desmond"".","Jazzcup, Gothersgade 107, Copenhagen K","Fri 5 January 2018, 3.30 pm.","(Entrance fee: 120,-(100,-))"
Nytårskoncert.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Fri 5 January 2018, 4.30 pm  - 5.30 pm.",
Duellen - Morricone trækker først.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 5 January 2018, 6.30 pm  & 9 pm.",(Entrance fee: 135 - 500 DKK)
P6 Beat.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 5 January 2018, 7.30 pm.",(Entrance fee: 245 - 345 DKK)
Helligtrekongersaften 2018.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Fri 5 January 2018, 7.30 pm  - 10 pm.",
Ridin' Thumb Nytårsfunk.,"Ellegården, Stavnsholtvej 168, Farum","Fri 5 January 2018, 9 pm.","(Entrance fee: Entre billet 250 DKK, Entre + Jazzmenu 400 DKK)"
Himlens hvide stilhed.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 5 January 2018, 9 pm.",(Free admission)
Orgelkoncert 'La Nativité du Seigneur'.,"Vor Frue Kirke - Københavns Domkirke, Nørregade 8, Copenhagen K","Sat 6 January 2018, 12 am.",(Free admission)
Edisons.,"Viggos Vinstue, Frederiksborgvej 86, Copenhagen NV","Sat 6 January 2018, 2 pm.",(Free admission)
Nytårsfest for sognets seniorer.,"Brøndbyøster Kirke, Brøndbyøstervej 117 B, Brøndby","Sat 6 January 2018, 2 pm  - 3.30 pm.",
"""Tranquebar"".","Jazzcup, Gothersgade 107, Copenhagen K","Sat 6 January 2018, 2.30 pm.","(Entrance fee: 90,-(70,-))"
Helligtrekongerskoncert.,"Davidskirken, Koldinggade 11, Copenhagen Ø","Sat 6 January 2018, 4 pm  - 5 pm.",
Dissing & Las synger Dylan feat. Dan Hemmer på kirkeorgel.,"Christians Kirke, Strandgade 1, Copenhagen K","Sat 6 January 2018, 5 pm.","(Entrance fee: 225,00 DKK)"
Nytårskoncert - At The Sands.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 6 January 2018, 8 pm.",
Nytårskoncert: Trio From Hell.,"Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Sun 7 January 2018, 2 pm  - 4 pm.",(Entrance fee: 130 DKK.)
Nytårs souljazz-lounge v/AN lok. 3+4.,"Taastrup Nykirke, Taastrup Hovedgade 34, Taastrup","Sun 7 January 2018, 2 pm  - 4 pm.",
Søndagsbal med Rødovre Palmehaveorkester.,"Rødovregaard, Kirkesvinget 1, Rødovre","Sun 7 January 2018, 2 pm  - 5 pm.",(Entrance fee: 50 DKK.)
Nytårskoncert - At The Sands.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 7 January 2018, 3 pm.",
La Nativité du Seigneur.,"Vor Frelsers Kirke, Sankt Annæ Gade 29, Copenhagen K","Sun 7 January 2018, 3 pm.",(Free admission)
Nytårskoncert - Rødovre Musikpris 2018.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sun 7 January 2018, 3 pm.","(Entrance fee: 160,00 DKK)"
Koncert med pianist Laurits Dragsted.,"Lundehus Kirke, Strødamvej 1, Copenhagen Ø","Sun 7 January 2018, 3 pm  - 4 pm.",
Nytårskoncerten 2018.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Sun 7 January 2018, 4 pm.","(Entrance fee: 420,00 dkk - 490,00 dkk)"
Conviviums julekoncert.,"Stavnsholtkirken, Stavnsholtvej 25, Farum","Sun 7 January 2018, 4 pm  - 5.30 pm.",
Nytårsjazz.,"Nazaret Kirke, Ryesgade 105, Copenhagen Ø","Sun 7 January 2018, 7.30 pm  - 8.30 pm.",
Ensemble Storstrøm.,"Taastrup Musikforening, Taastrup Kulturcenter, Poppel Allé 12, Taastrup","Mon 8 January 2018, 7.30 pm.",
Nytårskoncert med The Nordic Singers.,"Strandmarkskirken, Strandmarksvej 38, Hvidovre","Tues 9 January 2018, 7 pm  - 9 pm.",
Depeche Mode - Global Spirit Tour - Udsolgt/venteliste.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Tues 9 January 2018, 8 pm.","(Entrance fee: 540,00 dkk - 750,00 dkk)"
Jazz: Berømte Trioer.,"Bibliografen, Bagsværd Hovedgade 116 P, Bagsværd","Wed 10 January 2018, 7 pm.",
Radio Mercur.,"Glostrup Bibliotek, Kildevældets Allé 5, Glostrup","Wed 10 January 2018, 7 pm  - 9 pm.",(Entrance fee: 30kr for medlemmer 50kr for gæster)
"Juleoratoriet, II.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 11 January 2018, 7.30 pm.",(Entrance fee: 73 - 452 DKK)
Nytårskoncert Prinsens Musikkorps.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Thur 11 January 2018, 7.30 pm.",(Entrance fee: 195-230 DKK + evt. gebyr)
Nytårskur (med tilbehør).,"Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, Søborg","Thur 11 January 2018, 7.30 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gæster 50 DKK.)
Kim Larsen & Kjukken - Udsolgt.,"Amager Bio, Øresundsvej 6, Copenhagen S","Thur 11 January 2018, 9 pm.","(Entrance fee: 395,00 DKK)"
Bülow/Bülow/Franck Trio.,"Jazzcup, Gothersgade 107, Copenhagen K","Fri 12 January 2018, 3.30 pm.","(Entrance fee: 100,-(80,-))"
Fredagskoncert: Orgel.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Fri 12 January 2018, 4.30 pm  - 5.30 pm.",
Fredagscaférock i Taastrup Medborgerhus.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Fri 12 January 2018, 6 pm  - 11.30 pm.",(Entrance fee: 155)
"Juleoratoriet, II.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 12 January 2018, 7.30 pm.",(Entrance fee: 73 - 452 DKK)
DiamanEnsemblets Nytårskoncert.,"Det Kongelige Bibliotek/Den Sorte Diamant, Søren Kierkegaards Plads 1, Copenhagen K","Fri 12 January 2018, 7.30 pm.",(Entrance fee: 130 - 260 DKK)
Ramslag Folkets Hus Spillefolk.,"Metronomen, Godthåbsvej 33, Frederiksberg","Fri 12 January 2018, 8 pm.",(Entrance fee: Kr 30)
New Orleans New Year Jazz Event #6 - DAY 1.,"Pumpehuset, Studiestræde 52, Copenhagen V","Fri 12 January 2018, 8 pm.",(Entrance fee: 150)
Kim Larsen & Kjukken - Udsolgt.,"Amager Bio, Øresundsvej 6, Copenhagen S","Fri 12 January 2018, 9 pm.","(Entrance fee: 395,00 DKK)"
Julie Maria.,"Beta, Øresundsvej 6, Copenhagen S","Fri 12 January 2018, 9 pm.","(Entrance fee: 125,00 DKK)"
Mads Mathias Trio.,"Skovshoved Hotel, Strandvejen 267, Charlottenlund","Sat 13 January 2018, 12.30 am.","(Entrance fee: 490,00 DKK)"
"Andreas Fryland ""Standard Quartet"" feat. Per Møllehøj, Jakob Roland & Rolf Tofte.","Jazzcup, Gothersgade 107, Copenhagen K","Sat 13 January 2018, 2.30 pm.","(Entrance fee: 90,-(70,-))"
Satie med venner 2018 - Nytårskoncert 1.,"Metronomen, Godthåbsvej 33, Frederiksberg","Sat 13 January 2018, 3.00 pm.",(Entrance fee: 100 DKK.)
Nytårskoncert.,"Det Kongelige Danske Musikkonservatorium (DKDM), Rosenørns Allé 22, Frederiksberg C","Sat 13 January 2018, 4 pm.","(Entrance fee: Abonnement: 168-328 DKK, Løssalg: 210-410 DKK)"
When Copenhell Freezes Over.,"VEGA, Enghavevej 40, Copenhagen V","Sat 13 January 2018, 7 pm.","(Entrance fee: 165,00 DKK)"
70'er Galla - Jomfruburet Reunion.,"Kulturhuset Kilden, Nygårds Plads 31, Brøndby","Sat 13 January 2018, 7 pm.",(Entrance fee: Billetter 150-300 DKK)
Koncert: Beethoven#1.,"Husum Kirke, Korsager Allé 14, Brønshøj","Sat 13 January 2018, 7 pm  - 10 pm.",
P6 BEAT Rocker Koncerthuset.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 13 January 2018, 7.30 pm.",(Entrance fee: 255 - 295 DKK)
Repeatles.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sat 13 January 2018, 8 pm.","(Entrance fee: 200,00 DKK)"
New Orleans New Year Jazz Event #6 - DAY 2.,"Pumpehuset, Studiestræde 52, Copenhagen V","Sat 13 January 2018, 8 pm.",(Entrance fee: 150)
Brian Troy & Elvis On My Mind.,"Galaksen, Bymidten 48, Værløse","Sat 13 January 2018, 8 pm.",(Entrance fee: 160 - 300 DKK)
Best of Bowie live.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 13 January 2018, 8.30 pm.",(Entrance fee: Entre 125 DKK + gebyr / i dør 150 DKK)
Erik Stig + Løv.,"Kulturstationen Vanløse, Frode Jakobsens Plads 4 / Jernbane Allé 38, Vanløse","Sat 13 January 2018, 8.30 pm.",(Entrance fee: 70 DKK inkl. gebyr.)
Kim Larsen & Kjukken - Udsolgt.,"Amager Bio, Øresundsvej 6, Copenhagen S","Sat 13 January 2018, 9 pm.","(Entrance fee: 395,00 DKK)"
Bajazzerne.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sun 14 January 2018, 12 am.",
Nytårskoncert.,"Sofiekælderen, Overgaden Oven Vandet 32, Copenhagen K","Sun 14 January 2018, 3 pm.","(Entrance fee: 100,-/70,-)"
Musikhøjskolens Nytårskoncert.,"Frederiksberg Rådhus, Smallegade 1, Frederiksberg","Sun 14 January 2018, 3 pm.",(Free admission)
Nordic Singers.,"Sankt Jakobs Kirke, Østerbrogade 59, Copenhagen Ø","Sun 14 January 2018, 4 pm  - 5 pm.",
Palæ Bar Jazz.,"Palæ Bar, Ny Adelgade 5, Copenhagen K","Sun 14 January 2018, 5 pm  - 8 pm.",(Free admission)
Stereo.,"Galaksen, Bymidten 48, Værløse","Mon 15 January 2018, 7.30 pm.",(Entrance fee: 135 - 165 DKK)
Den Gule Kulturcafe: Jazz med Boysen/Andersen Band - Feat. Susanne Overgaard.,"KU.BE, Dirch Passers Allé 4, Frederiksberg","Wed 17 January 2018, 2.30 pm, dørene åbner 2 pm.",(Free admission)
Onsdags-jazz på Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 17 January 2018, 6 pm.",(Free admission)
Nytårskoncert.,"Gentofte Hovedbibliotek, Ahlmanns Allé 6, Hellerup","Wed 17 January 2018, 7 pm.",(Entrance fee: Standard 150 DKK)
"Kammermusikforeningen af 1911, Mathias Hedegaard tenor m. Tove Lønskov klaver.","Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Wed 17 January 2018, 7.30 pm.",(Entrance fee: Ikke.medlemmer 130 DKK.)
Debutkoncert - Nordic String Quartet.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Wed 17 January 2018, 7.30 pm.",(Free admission)
Jazz Lounge.,"Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Thur 18 January 2018, 1 pm  - 4 pm.",(Free admission)
Fyraftenskoncert.,"Søborg Kirkes sognegård, Frødings Allé 2, Søborg","Thur 18 January 2018, 5.30 pm  - 6.30 pm.",
Saraste & Brahms' 1.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 18 January 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
Nytårskoncert med Københavns Kantatekor og -orkester.,"Stengård Kirke, Triumfvej 2, Kongens Lyngby","Thur 18 January 2018, 7.30 pm  - 11 pm.",
August Rosenbaum (DK) with full band.,"VEGA, Enghavevej 40, Copenhagen V","Thur 18 January 2018, 8 pm.",(Entrance fee)
Wang Wen (CN).,"Ideal Bar, Enghavevej 40, Copenhagen V","Thur 18 January 2018, 9 pm.","(Entrance fee: 135,00 DKK)"
Francesco Signa Quintet feat Bob Rockwell.,"Jazzcup, Gothersgade 107, Copenhagen K","Fri 19 January 2018, 3.30 pm.","(Entrance fee: 120,-(100,-))"
Fredagkoncert: Kammermusik.,"Trinitatis Kirke, Landemærket 2, Copenhagen K","Fri 19 January 2018, 4.30 pm  - 5.30 pm.",
Cphphil Stjerneviolinist.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Fri 19 January 2018, 7.30 pm.",(Entrance fee: 210-410 DKK + evt. gebyr)
Musikhøjskolens Kulturaften.,"Metronomen, Godthåbsvej 33, Frederiksberg","Fri 19 January 2018, 7.30 pm.",(Free admission)
P2 Prisen.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 19 January 2018, 7.30 pm.",(Entrance fee: 73 - 125 DKK)
Årets Unge Jazzkomponist 2018 & Leo Mathisen Prisen.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 19 January 2018, 8 pm.",(Entrance fee: 110 - 200 DKK)
$uicideboy$ (US).,"VEGA, Enghavevej 40, Copenhagen V","Fri 19 January 2018, 8 pm.","(Entrance fee: 215,00 DKK)"
"Wild Wax Combo med Frank Rothstein, Frede Norbrink og Jesper Agerschou.","Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Fri 19 January 2018, 8 pm.","(Entrance fee: 140,00 DKK)"
Drab Majesty (US).,"Ideal Bar, Enghavevej 40, Copenhagen V","Fri 19 January 2018, 8 pm.",(Entrance fee)
Cod Roe Blues Band.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Fri 19 January 2018, 8 pm  - 10 pm.",(Entrance fee: 100kr. + gebyr - 120kr. i døren)
Wolf Alice (UK).,"VEGA, Enghavevej 40, Copenhagen V","Fri 19 January 2018, 9 pm.","(Entrance fee: 220,00 DKK)"
Duo Adore i Natkirken.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Fri 19 January 2018, 9 pm.",(Free admission)
Vinøs matine.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Sat 20 January 2018, 2 pm  - 3.30 pm.",
Nulle/Kaspersen Duo.,"Jazzcup, Gothersgade 107, Copenhagen K","Sat 20 January 2018, 2.30 pm.","(Entrance fee: 100,-(80,-))"
Saraste & Brahms' 1.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 20 January 2018, 3 pm.",(Entrance fee: 85 - 497 DKK)
Satie med venner 2018 - Nytårskoncert 2.,"Metronomen, Godthåbsvej 33, Frederiksberg","Sat 20 January 2018, 3.00 pm.",(Entrance fee: 100 DKK.)
Nytårskoncert 2018.,"Store Magleby Kirke, Kirkevej 2, Dragør","Sat 20 January 2018, 4 pm  - 6 pm.",
Nytårskoncert.,"Virum Kirke, Kirkebakken 10, Virum","Sat 20 January 2018, 4 pm  - 6 pm.",
Kim Larsen & Kjukken - Udsolgt!,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sat 20 January 2018, 8 pm.","(Entrance fee: 400,00 DKK)"
Det Åbne Hus spiller op til folkedans på Stades Krog 9.,"Lyngby Sognegård, Stades Krog 9, Kongens Lyngby","Sat 20 January 2018, 8 pm.",(Entrance fee: 40 DKK)
Auðn (IS) + Support.,"Beta, Øresundsvej 6, Copenhagen S","Sat 20 January 2018, 9 pm.","(Entrance fee: 95,00 DKK)"
"Arild Kvartetten spiller Beethoven, LvB#1.","Det Kongelige Teater - Gamle Scene, Kongens Nytorv, Copenhagen K","Sun 21 January 2018, 12 am.",(Entrance fee: 200 DKK)
Jazz Menu - Forår 2018.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sun 21 January 2018, 1 pm.",(Entrance fee: 110 DKK)
Orgelkoncert: AejiChoi.,"Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C","Sun 21 January 2018, 3 pm.",(Free admission)
Nytårskoncert.,"Højdevangskirken, Irlandsvej 45, Copenhagen S","Sun 21 January 2018, 4 pm  - 5 pm.",
Nytårskoncert 2018.,"Store Magleby Kirke, Kirkevej 2, Dragør","Sun 21 January 2018, 4 pm  - 6 pm.",
The Bootleg Beatles in Concert.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 21 January 2018, 8 pm.",(Entrance fee: 390 - 445 DKK)
Iron & Wine.,"VEGA, Enghavevej 40, Copenhagen V","Mon 22 January 2018, 8 pm.","(Entrance fee: 270,00 DKK)"
Sigrid.,"VEGA, Enghavevej 40, Copenhagen V","Mon 22 January 2018, 9 pm.",(Entrance fee: 180 DKK)
Vinterjazz og Sildebord med South Coast Stompers.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Tues 23 January 2018, 12.30 am.",
Paddy Doyles Kvartet.,"Baltoppen Live, Baltorpvej 20, Ballerup","Tues 23 January 2018, 7.30 pm.",(Entrance fee: 140 DKK + evt. gebyr)
Joey Moe - Akustisk koncert.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Tues 23 January 2018, 8 pm.",(Entrance fee: 220 - 270 DKK)
Alt-j.,"Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C","Tues 23 January 2018, 8 pm.",
Tæt på Lis Sørensen og alle balladerne.,"Restaurant Bellahøj, Bellahøjvej 20, Brønshøj","Wed 24 January 2018, 6 pm.","(Entrance fee: 970,00 dkk - 995,00 dkk)"
Jazz: Berømte Kvartetter.,"Bibliografen, Bagsværd Hovedgade 116 P, Bagsværd","Wed 24 January 2018, 7 pm.",
Koncertserien 24 - koncerter med unge talenter.,"Metronomen, Godthåbsvej 33, Frederiksberg","Wed 24 January 2018, 7 pm.",(Free admission)
Troen på lyset - DR VokalEnsemble.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Wed 24 January 2018, 7.30 pm.",
The Lone Bellow.,"VEGA, Enghavevej 40, Copenhagen V","Wed 24 January 2018, 8 pm.","(Entrance fee: 220,00 DKK)"
Dermot Kennedy (IE).,"VEGA, Enghavevej 40, Copenhagen V","Wed 24 January 2018, 9 pm.",(Entrance fee)
Musikalsk underholdning med Steen Nielsen.,"Glostrup Bibliotek, Kildevældets Allé 5, Glostrup","Thur 25 January 2018, 1.30 pm.",(Entrance fee: 30 DKK.)
"ALL SWING & BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K","Thur 25 January 2018, 7 pm  - 9 pm.",
Alsop & Hahn.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 25 January 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
